Temporada,Numero de Incendios, Superficie Afectada en Hectareas
2000-2001,5376,10921
2001-2002,6701,90069
2002-2003,7572,41988
2003-2004,6430,50687
2004-2005,6653,65300
2005-2006,5397,19349
2006-2007,5143,43404
2007-2008,6976,42063
2008-2009,6157,64875
2009-2010,4069,58364
2010-2011,4962,47040
2011-2012,5509,90279
2012-2013,5651,17109
2013-2014,6335,105992
2014-2015,8048,128654
2015-2016,6784,42097
2016-2017,5274,570197
2017-2018,6081,39554
2018-2019,7219,80064
2019-2020,8127,102292
